Date,Account,Category,Note,Income/Expense,Amount,Type
1/5/2022 14:42,CUB - online payment,Other,Lended money returned to kumara,Expense,30.0,Expense
1/5/2022 14:42,CUB - online payment,Food,Jan 2nd with shakur and barath,Expense,354.0,Expense
1/5/2022 14:39,CUB - online payment,Other,To gobi 1st 1/4th,Expense,500.0,Expense
1/5/2022 14:37,CUB - online payment,Other,To abijith and to vicky lend money returned,Expense,500.0,Expense
1/5/2022 14:35,CUB - online payment,Transportation,Refund for bus ticket,Expense,60.0,Expense
1/5/2022 14:30,CUB - online payment,Food,Lunch with company,Expense,388.0,Expense
1/4/2022 22:11,CUB - online payment,Education,Arrear and reval fee,Expense,1400.0,Expense
1/4/2022 22:10,CUB - online payment,Salary,Salary,Income,8000.0,Expense
1/4/2022 13:53,CUB - online payment,Food,Lunch with company,Expense,106.0,Expense
1/4/2022 8:01,CUB - online payment,Other,To vicky,Expense,80.0,Expense
1/4/2022 7:58,CUB - online payment,Food,Sent to preethi,Expense,107.0,Expense
1/3/2022 22:15,CUB - online payment,Food,Dairy milk,Expense,10.0,Expense
1/3/2022 21:54,CUB - online payment,Other,From barath,Income,201.0,Expense
1/3/2022 21:12,CUB - online payment,Other,From gpay,Income,5.0,Expense
1/3/2022 21:11,CUB - online payment,Other,From shakur,Income,140.0,Expense
1/3/2022 14:31,CUB - online payment,Food,Lunch unlimited nv,Expense,300.0,Expense
1/3/2022 14:30,CUB - online payment,Other,From abi,Income,300.0,Expense
1/2/2022 20:33,CUB - online payment,Other,Tablet to gowdham,Expense,8.0,Expense
1/2/2022 20:32,CUB - online payment,Food,Dinner with barath,Expense,200.0,Expense
1/2/2022 14:16,CUB - online payment,Transportation,Train to vnr,Expense,725.0,Expense
1/1/2022 21:46,CUB - online payment,Food,Snacks,Expense,85.0,Expense
1/1/2022 21:45,CUB - online payment,Allowance,From dad,Income,1000.0,Expense
12/30/2021 14:10,CUB - online payment,Food,To barath,Expense,20.0,Expense
12/30/2021 13:56,CUB - online payment,Transportation,Pg to office,Expense,43.0,Expense
12/30/2021 13:36,CUB - online payment,Other,From kumara,Income,30.0,Expense
12/30/2021 12:43,CUB - online payment,Food,Horlicks + kolakattai,Expense,25.0,Expense
12/30/2021 12:38,CUB - online payment,Transportation,Bommasandra to pg,Expense,199.0,Expense
12/30/2021 12:37,CUB - online payment,Other,From Deepak,Income,250.0,Expense
12/30/2021 11:45,CUB - online payment,Food,Water,Expense,20.0,Expense
12/30/2021 11:45,CUB - online payment,Other,From abi,Income,20.0,Expense
12/30/2021 11:45,CUB - online payment,Transportation,Rapido + toll,Expense,286.0,Expense
12/30/2021 11:44,CUB - online payment,Other,From Deepak,Income,250.0,Expense
12/28/2021 13:42,CUB - online payment,Food,Coffee and thattai,Expense,14.0,Expense
12/27/2021 13:45,CUB - online payment,Food,Lunch with barath,Expense,115.0,Expense
12/27/2021 13:44,CUB - online payment,Other,From vicky,Income,80.0,Expense
12/27/2021 12:33,CUB - online payment,Other,From ganesan,Income,40.0,Expense
12/27/2021 12:33,CUB - online payment,Food,Coconut water with stu,Expense,50.0,Expense
12/25/2021 22:53,CUB - online payment,Food,Dinner with barath,Expense,504.0,Expense
12/25/2021 20:46,CUB - online payment,Transportation,Cab,Expense,306.0,Expense
12/25/2021 19:50,CUB - online payment,Self-development,Books,Expense,400.0,Expense
12/25/2021 17:01,CUB - online payment,Food,Corn,Expense,30.0,Expense
12/25/2021 15:35,CUB - online payment,Food,Water,Expense,30.0,Expense
12/25/2021 13:32,CUB - online payment,Food,Milk with bharath,Expense,40.0,Expense
12/24/2021 21:49,CUB - online payment,Social Life,Beer,Expense,150.0,Expense
12/24/2021 14:35,CUB - online payment,Food,Lunch with company,Expense,262.0,Expense
12/23/2021 16:31,CUB - online payment,Food,Lemon tea with company,Expense,15.0,Expense
12/23/2021 13:51,CUB - online payment,Food,Puffs and coffee,Expense,32.0,Expense
12/21/2021 20:53,CUB - online payment,Food,Dinner with barath,Expense,239.0,Expense
12/21/2021 14:02,CUB - online payment,Food,Puffs,Expense,25.0,Expense
12/21/2021 11:43,CUB - online payment,Food,Bun,Expense,18.0,Expense
12/20/2021 19:23,CUB - online payment,Food,Milk with bharath,Expense,80.0,Expense
12/20/2021 19:22,CUB - online payment,Transportation,Taxi,Expense,80.0,Expense
12/20/2021 16:55,CUB - online payment,Food,Snacks,Expense,20.0,Expense
12/20/2021 15:29,CUB - online payment,Food,Water,Expense,20.0,Expense
12/20/2021 13:35,CUB - online payment,Food,Lunch with barath,Expense,85.0,Expense
12/20/2021 9:46,CUB - online payment,Food,Milk with bharath,Expense,40.0,Expense
12/19/2021 15:51,CUB - online payment,Other,To siva,Expense,100.0,Expense
12/18/2021 21:01,CUB - online payment,Other,To kumara,Expense,100.0,Expense
12/18/2021 21:01,CUB - online payment,Other,To abijith,Expense,200.0,Expense
12/18/2021 21:00,CUB - online payment,Food,To rahul,Expense,113.0,Expense
12/18/2021 21:00,CUB - online payment,Allowance,From dad,Income,1000.0,Expense
12/18/2021 19:52,CUB - online payment,Other,Lended money,Income,400.0,Expense
12/18/2021 19:51,CUB - online payment,Social Life,Spiderman ,Expense,363.72,Expense
12/18/2021 14:19,CUB - online payment,Food,Lunch,Expense,160.0,Expense
12/17/2021 18:54,CUB - online payment,Food,Milk with bharath,Expense,70.0,Expense
12/17/2021 14:45,CUB - online payment,Food,Lunch with company,Expense,110.0,Expense
12/17/2021 8:35,CUB - online payment,Other,Gave to gowdham,Expense,50.0,Expense
12/16/2021 18:44,CUB - online payment,Food,Egg,Expense,30.0,Expense
12/16/2021 18:35,CUB - online payment,Food,Panipoori,Expense,20.0,Expense
12/16/2021 13:38,CUB - online payment,Food,Lunch,Expense,30.0,Expense
